Thu Mar 15 11:04:20 2018
             JOBID PARTITION     NAME     USER    STATE       TIME TIME_LIMI  NODES NODELIST(REASON)
            494759    pbatch       sh  buchta2 COMPLETI      30:13     30:00      1 quartz140
            494731    pbatch batch_jo   miguel  PENDING       0:00  10:00:00     10 (Dependency)
            490892    pbatch md_1100K  kumar13  PENDING       0:00 1-00:00:00     12 (Dependency)
            490907    pbatch md_1100K  kumar13  PENDING       0:00 1-00:00:00     12 (Dependency)
            490908    pbatch md_1100K  kumar13  PENDING       0:00 1-00:00:00     12 (Dependency)
            494796    pbatch  surgeag muliang1  PENDING       0:00  23:00:00     16 (Dependency)
            441062    pbatch moxi_sca    swong  PENDING       0:00 1-00:00:00    512 (Priority)
            441064    pbatch moxi_sca    swong  PENDING       0:00 1-00:00:00    512 (Priority)
            441061    pbatch moxi_sca    swong  PENDING       0:00 1-00:00:00    512 (Resources)
            441065    pbatch cipro_sc    swong  PENDING       0:00 1-00:00:00   1024 (Priority)
            441066    pbatch cipro_sc    swong  PENDING       0:00 1-00:00:00   1024 (Priority)
            493986    pbatch VMJP2V1A   holod1  PENDING       0:00  12:30:00     50 (Priority)
            494516    pbatch VMJP2V1A   holod1  PENDING       0:00  12:00:00     32 (Priority)
            494719    pbatch gadget.g maiterth  PENDING       0:00  12:00:00      8 (Priority)
            494729    pbatch gadget.g maiterth  PENDING       0:00  12:00:00      8 (Priority)
            493894    pbatch dyn-live      jpc  PENDING       0:00   8:00:00     15 (Priority)
            493895    pbatch dyn-live      jpc  PENDING       0:00   8:00:00     15 (Priority)
            493930    pbatch dyn-iner      jpc  PENDING       0:00   8:00:00     15 (Dependency)
            494761    pbatch dyn-iner      jpc  PENDING       0:00   8:00:00     10 (Dependency)
            494725    pbatch atb27418 bennion1  PENDING       0:00 1-00:00:00      1 (Priority)
            494763    pbatch atb27418 bennion1  PENDING       0:00 1-00:00:00      1 (Priority)
            494800    pbatch nn_scatt rnavarro  PENDING       0:00 1-00:00:00      1 (Priority)
            494379    pbatch separate malone14  PENDING       0:00  12:00:00      1 (Priority)
            494705    pbatch Biogenic bennion1  PENDING       0:00  12:00:00    150 (Priority)
